Date,Description,Debit,Credit,Balance,Reference
2026-05-01,SALARY TRANSFER,,250000,1250000,REF001
2026-05-02,UTILITY BILL PMT,4500,,1245500,REF002
2026-05-03,M AHMED SERVICES,15000,,1230500,REF003
2026-05-04,OFFICE RENT,85000,,1145500,REF004
2026-05-05,CLIENT PAYMENT ABC,,185000,1330500,REF005
2026-05-06,STATIONERY POS,3200,,1327300,REF006
2026-05-07,NEFT VENDOR XYZ,42000,,1285300,REF007
2026-05-08,IBFT SUPPLIER CO,28500,,1256800,REF008
2026-05-09,FUEL EXPENSE,6800,,1250000,REF009
2026-05-10,CONSULTING FEE IN,,95000,1345000,REF010
